正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
對於十四歲以上未滿十六歲之女子為性交罪,8,,對於十四歲以上未滿十六歲之女子為性交罪
以明知為不實之事項而填製會計憑證罪,8,,以明知為不實之事項而填製會計憑證罪 | 商業會計法第71條第1款之以明知為不實之事項而填製會計憑證罪
駕駛動力交通工具妨害公務執行罪,8,,駕駛動力交通工具妨害公務執行罪 | 駕駛動力交通工具妨害公務執行罪及同法第277條第1項之傷害罪
駕駛動力交通工具而吐氣所含酒精濃度達每公升零點二五毫克以上罪,8,,駕駛動力交通工具而吐氣所含酒精濃度達每公升零點二五毫克以上罪
、第210條之行使偽造私文書罪,8,,刑法第216條、第210條之行使偽造私文書罪
同條後段之意圖營利聚眾賭博罪,8,,前段之意圖營利供給賭博場所罪及同條後段之意圖營利聚眾賭博罪
販賣第一級毒品罪,8,,販賣第一級毒品罪
之一罪,8,,之一罪
本件洗錢罪,8,,本件洗錢罪
後於偵查及本院準備程序、審判期日均自白詐欺犯罪,8,,後於偵查及本院準備程序、審判期日均自白詐欺犯罪
洗錢財物或財產上利益未達1億元之一般洗錢罪,8,,三人以上共同詐欺取財罪及洗錢防制法第19條第1項後段之洗錢財物或財產上利益未達1億元之一般洗錢罪 | 後段之洗錢財物或財產上利益未達1億元之一般洗錢罪 | 3人以上共同詐欺取財罪及洗錢防制法第19條第1項後段之洗錢財物或財產上利益未達1億元之一般洗錢罪
對於未滿14歲之女子為性交罪,7,,對於未滿14歲之女子為性交罪
輕罪即幫助詐欺取財罪,7,,輕罪即幫助詐欺取財罪
或過失犯罪,7,,或過失犯罪
製造第二級毒品罪,7,,製造第二級毒品罪 | 製造第二級毒品未遂罪 | 幫助製造第二級毒品罪
填製不實罪,7,,商業會計法第七十一條第一款之填製不實罪 | 填製不實罪 | 填製不實罪及修正前稅捐稽徵法第43條第1項之幫助逃漏稅捐罪
私行拘禁罪,7,,私行拘禁罪 | 傷害罪及刑法第302條第1項之私行拘禁罪
結夥三人以上攜帶兇器竊盜罪,7,,結夥三人以上攜帶兇器竊盜罪 | 結夥三人以上攜帶兇器竊盜未遂罪
拍攝少年性影像罪,7,,拍攝少年性影像罪 | 兒童及少年性剝削防制條例第三十六條第一項之拍攝少年性影像罪
罪事實具有想像競合犯之裁判上一罪,7,是,罪事實具有想像競合犯之裁判上一罪
論處之隱匿特定犯罪所得去向之洗錢罪,7,,論處之隱匿特定犯罪所得去向之洗錢罪 | 而依同法第14條第2項論處之隱匿特定犯罪所得去向之洗錢未遂罪 | 而依同法第14條第1項論處之隱匿特定犯罪所得去向之洗錢罪
圖利供給賭場罪,7,,前段之圖利供給賭場罪及同條後段之圖利聚眾賭博罪 | 圖利供給賭場罪及圖利聚眾賭博罪
踰越安全設備竊盜罪,7,,踰越安全設備竊盜罪 | 踰越安全設備竊盜罪及同法第354條之毀損罪
特別背信罪,7,,特別背信罪 | 證券交易法第一百七十一條第一項第三款之特別背信罪 | 前段之特別背信罪
對於公務員依法執行職務時施強暴罪,7,,對於公務員依法執行職務時施強暴罪
未經他人同意無故攝錄他人性影像罪,7,,未經他人同意無故攝錄他人性影像罪 | 未經他人同意無故攝錄他人性影像未遂罪
踰越窗戶竊盜罪,7,,踰越窗戶竊盜罪
本案有期徒刑以上之罪,7,,本案有期徒刑以上之罪
恐嚇罪,7,,恐嚇罪 | 刑法第305條之恐嚇罪
非法寄藏非制式手槍罪,7,,非法寄藏非制式手槍罪 | 非法寄藏非制式手槍罪及同條例第12條第4項之非法寄藏子彈罪
三人以上共同剝奪他人行動自由罪,7,,三人以上共同剝奪他人行動自由罪
無故侵入住宅罪,7,,無故侵入住宅罪 | 跟蹤騷擾罪及刑法第306條第1項之無故侵入住宅罪
擅自以公開傳輸之方法侵害他人之著作財產權罪,7,,擅自以公開傳輸之方法侵害他人之著作財產權罪 | 著作權法第九十二條之擅自以公開傳輸之方法侵害他人之著作財產權罪 | 著作權法第九十二條擅自以公開傳輸之方法侵害他人之著作財產權罪
非公務機關非法蒐集個人資料罪,7,,非公務機關非法蒐集個人資料罪 | 個人資料保護法第四十一條之非公務機關非法蒐集個人資料罪 | 違反同法第6條第1項之非法蒐集個人資料罪及違反同法第19條第1項之非公務機關非法蒐集個人資料罪
非法販賣侵害商標權之商品罪,7,,前段之非法販賣侵害商標權之商品罪 | 商標法第九十七條之非法販賣侵害商標權之商品罪 | 商標法第九十七條前段之非法販賣侵害商標權之商品罪
一般洗錢等罪,7,,後段之一般洗錢等罪 | 3人以上共同犯詐欺取財及洗錢防制法第19條第1項後段之一般洗錢等罪 | 三人以上共同犯詐欺取財及洗錢防制法第19條第1項後段之一般洗錢等罪
尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪,7,,尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪
駕駛動力交通工具而尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上罪,7,,駕駛動力交通工具而尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上罪 | 刑法第185條之3第1項第3款之駕駛動力交通工具而尿液所含毒品及其代謝物達行政院公告之品項及濃度值以上罪
施用毒品致不能安全駕駛罪,7,,施用毒品致不能安全駕駛罪
（組織犯罪,7,,（組織犯罪
無正當理由期約對價而提供帳戶予他人使用罪,7,,無正當理由期約對價而提供帳戶予他人使用罪 | 洗錢防制法第二十二條第三項第一款之無正當理由期約對價而提供帳戶予他人使用罪
服用酒類致不能安全駕駛動力交通工具罪,7,,服用酒類致不能安全駕駛動力交通工具罪
所處罰之性騷擾罪,6,,所處罰之性騷擾罪
以網際網路對公眾散布而詐欺取財罪,6,,以網際網路對公眾散布而詐欺取財罪
非法經營銀行收受存款業務罪,6,,銀行法第一百二十五條第一項前段之非法經營銀行收受存款業務罪 | 前段之非法經營銀行收受存款業務罪 | 前段之非法經營銀行收受存款業務罪及多層次傳銷管理法第29條第1項之非法多層次傳銷罪
侵害商標權罪,6,,商標法第九十五條第三款之侵害商標權罪 | 侵害商標權罪 | 商標法第九十五條第一款之侵害商標權罪
意圖使女子與他人為性交行為而媒介以營利罪,6,,前段之意圖使女子與他人為性交行為而媒介以營利罪 | 意圖使女子與他人為性交行為而媒介以營利罪
踰越門扇竊盜罪,6,,踰越門扇竊盜罪 | 侵入建築物罪及同法第321條第1項第2款之踰越門扇竊盜罪 | 踰越門扇竊盜未遂罪
如附表四編號1至2主文欄所示之貳罪,6,是,如附表四編號1至2主文欄所示之貳罪
本案施用第二級毒品罪,6,,本案施用第二級毒品罪
行使業務登載不實文書罪,6,,行使業務登載不實文書罪
三人以上加重詐欺取財罪,6,,三人以上加重詐欺取財罪
運輸第一級毒品罪,6,,運輸第一級毒品罪 | 運輸第一級毒品罪及懲治走私條例第2條第1項之私運管制物品進口罪
非法經營期貨交易業務罪,6,,期貨交易法第一百十二條第五項第三款之非法經營期貨交易業務罪 | 非法經營期貨交易業務罪 | 幫助非法經營期貨交易業務罪
非法經營期貨顧問事業罪,6,,期貨交易法第一百十二條第五項第五款之非法經營期貨顧問事業罪 | 非法經營期貨顧問事業罪
3人以上共同犯詐欺取財罪,6,,3人以上共同犯詐欺取財罪 | 3人以上共同犯詐欺取財罪及修正後洗錢防制法第19條第1項後段之一般洗錢罪
未經許可入國罪,6,,前段之未經許可入國罪 | 前段未經許可入國罪 | 未經許可入國罪
轉讓第一級毒品罪,6,,轉讓第一級毒品罪
：被告就起訴書犯罪,6,,：被告就起訴書犯罪
妨害投標罪,6,,妨害投標罪 | 政府採購法第八十七條第三項之妨害投標罪 | 政府採購法第八十七條第五項前段之妨害投標罪
附表編號1至4「罪,6,是,附表編號1至4「罪
未經許可持有非制式手槍罪,6,,未經許可持有非制式手槍罪
非法寄藏子彈罪,6,,非法寄藏子彈罪 | 非法寄藏非制式手槍罪及同條例第12條第4項之非法寄藏子彈罪
以違反本人意願之方法使少年被拍攝性影像罪,6,,以違反本人意願之方法使少年被拍攝性影像罪 | 以違反本人意願之方法使少年被拍攝性影像未遂罪
非法清除廢棄物罪,6,,前段之非法清除廢棄物罪 | 廢棄物清理法第四十六條第四款前段之非法清除廢棄物罪
過失傷害致人重傷罪,6,,過失傷害致人重傷罪 | 後段之過失傷害致人重傷罪
、第1項第2款之三人以上共同詐欺取財罪,6,,刑法第339條之4第2項、第1項第2款之三人以上共同詐欺取財未遂罪
非法持有刀械罪,6,,非法持有刀械罪
毀壞安全設備竊盜罪,6,,毀壞安全設備竊盜罪 | 毀壞安全設備竊盜未遂罪 | 毀壞安全設備竊盜罪及同法第306條第1項之無故侵入他人建築物罪
損壞他人物品罪,6,,損壞他人物品罪 | 傷害罪及同法第354條之損壞他人物品罪
尿液所含毒品代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪,6,,尿液所含毒品代謝物達行政院公告之品項及濃度值以上而駕駛動力交通工具罪
無故侵入他人住宅罪,6,,無故侵入他人住宅罪
罪危害防制條例所規定之詐欺犯罪,6,是,罪危害防制條例所規定之詐欺犯罪
（洗錢防制法）前4條之罪,6,,（洗錢防制法）前4條之罪
自白減刑：按犯詐欺犯罪,6,,罪危害防制條例第47條自白減刑：按犯詐欺犯罪
罪危害防制條例自白減刑之規定：按犯詐欺犯罪,6,是,罪危害防制條例自白減刑之規定：按犯詐欺犯罪
如附表各罪,6,是,如附表各罪
第14條之罪,5,,第14條之罪
係一行為觸犯數罪,5,,係一行為觸犯數罪
罪行為侵害數法益皆成立犯罪,5,是,罪行為侵害數法益皆成立犯罪
持有第三級毒品純質淨重5公克以上之罪,5,,持有第三級毒品純質淨重5公克以上之罪
意圖販賣而持有第二級毒品而混合二種以上毒品罪,5,,意圖販賣而持有第二級毒品而混合二種以上毒品罪
侵入建築物罪,5,,侵入建築物罪 | 侵入建築物罪及同法第321條第1項第2款之踰越門扇竊盜罪 | 竊盜罪及同法第306條第1項之侵入建築物罪
他人逃漏稅捐罪,5,,幫助他人逃漏稅捐罪 | 填製不實會計憑證罪及修正前稅捐稽徵法第43條第1項之幫助他人逃漏稅捐罪 | 商業負責人填製不實會計憑證罪及修正前稅捐稽徵法第43條第1項之幫助他人逃漏稅捐罪
意圖營利供給賭博場所及同條後段之意圖營利聚眾賭博罪,5,,前段之意圖營利供給賭博場所及同條後段之意圖營利聚眾賭博罪 | 前段意圖營利供給賭博場所及同條後段之意圖營利聚眾賭博罪
轉讓偽藥罪,5,,轉讓偽藥罪 | 藥事法第八十三條第一項之轉讓偽藥罪
毀越門窗竊盜罪,5,,毀越門窗竊盜罪 | 毀越門窗竊盜未遂罪
非公務機關未於蒐集之特定目的必要範圍內利用個人資料罪,5,,違反同法第20條第1項之非公務機關未於蒐集之特定目的必要範圍內利用個人資料罪 | 非公務機關未於蒐集之特定目的必要範圍內利用個人資料罪
販賣第三級毒品而混合二種以上毒品罪,5,,販賣第三級毒品而混合二種以上毒品未遂罪 | 販賣第三級毒品而混合二種以上毒品罪
罪事實及理由一、犯罪,5,是,罪事實及理由一、犯罪
非法以電腦相關設備製作不實財產權取得紀錄得利罪,5,,非法以電腦相關設備製作不實財產權取得紀錄得利罪 | 刑法第339條之3第2項之非法以電腦相關設備製作不實財產權取得紀錄得利罪
收受贓物罪,5,,收受贓物罪 | 刑法第349條第1項之收受贓物罪
透過網路方式非法販賣侵害商標權商品罪,5,,後段之透過網路方式非法販賣侵害商標權商品罪 | 後段之透過網路方式非法販賣侵害商標權商品罪及刑法第339條之4第1項第3款之以網際網路對公眾散布而犯詐欺取財罪 | 後段之透過網路方式非法販賣侵害商標權商品罪及刑法第339條第1項之詐欺取財罪
罪條例罪,5,是,罪條例罪
招募他人加入犯罪組織罪,5,,招募他人加入犯罪組織罪
參與犯罪組織等罪,5,,後段之參與犯罪組織等罪
販賣禁藥罪,5,,販賣禁藥罪 | 輸入禁藥罪及同法第83條第1項之販賣禁藥罪 | 輸入禁藥罪及藥事法第83條第1項之販賣禁藥罪
如附表四編號1至4主文欄所示之肆罪,5,是,如附表四編號1至4主文欄所示之肆罪
行均有犯罪,5,,行均有犯罪
非法經營期貨經理事業罪,5,,期貨交易法第一百十二條第五項第五款之非法經營期貨經理事業罪 | 非法經營期貨經理事業罪
無故以電磁紀錄竊錄他人非公開之活動罪,5,,無故以電磁紀錄竊錄他人非公開之活動罪 | 刑法第315條之1第2款之無故以電磁紀錄竊錄他人非公開之活動罪
行使變造準私文書罪,5,,行使變造準私文書罪
在公眾得出入之場所賭博罪,5,,在公眾得出入之場所賭博罪 | 前段之在公眾得出入之場所賭博罪
普通傷害罪,5,,普通傷害罪 | 公然侮辱罪及同法第277條第1項之普通傷害罪
利用不正當方法致使會計事項發生不實結果罪,5,,利用不正當方法致使會計事項發生不實結果罪及刑法第214條之使公務員登載不實罪 | 利用不正當方法致使會計事項發生不實結果罪 | 利用不正當方法致使會計事項發生不實結果罪及刑法第214條使公務員登載不實罪
高買證券罪,5,,證券交易法第一百七十一條第一項第一款之高買證券罪 | 證券交易法第一百七十一條第二項之高買證券罪
第10條之罪,5,,第10條之罪
故買贓物罪,5,,故買贓物罪
殺人罪,5,,殺人罪 | 殺人未遂罪
同條後段意圖營利聚眾賭博罪,5,,前段意圖營利供給賭博場所罪及同條後段意圖營利聚眾賭博罪
罪所用、犯罪,5,是,罪所用、犯罪
以網際網路對公眾散布詐欺取財罪,5,,以網際網路對公眾散布詐欺取財罪 | 刑法第339條之4第1項第3款之以網際網路對公眾散布詐欺取財罪
如附表三編號1至3主文欄所示之參罪,5,是,如附表三編號1至3主文欄所示之參罪
駕駛動力交通工具而尿液所含毒品達行政院公告之品項及濃度值以上罪,5,,駕駛動力交通工具而尿液所含毒品達行政院公告之品項及濃度值以上罪
罪所用之物：按犯詐欺犯罪,5,是,罪所用之物：按犯詐欺犯罪
