正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
意圖販賣而持有第三級毒品罪,24,,意圖販賣而持有第三級毒品罪 | 後段之參與犯罪組織罪及毒品危害防制條例第5條第3項之意圖販賣而持有第三級毒品罪 | 幫助意圖販賣而持有第三級毒品罪
妨害兵役治罪,24,,妨害兵役治罪
在公共場所聚集三人以上下手實施強暴罪,24,,在公共場所聚集三人以上下手實施強暴罪 | 後段之在公共場所聚集三人以上下手實施強暴罪 | 後段在公共場所聚集三人以上下手實施強暴罪
以下各罪,24,,以下各罪
非法經營收受存款業務罪,23,,銀行法第一百二十五條第一項前段之非法經營收受存款業務罪 | 銀行法第一百二十五條第一項後段之非法經營收受存款業務罪 | 非法經營收受存款業務罪
加重誹謗罪,23,,加重誹謗罪 | 加重誹謗罪及個人資料保護法第41條之違反同法第20條第1項之非法利用個人資料罪 | 以網際網路張貼之方式供人觀覽猥褻影像罪及同法第310條第2項加重誹謗罪
非法持有非制式手槍罪,23,,非法持有非制式手槍罪 | 非法持有非制式手槍罪及同條例第12條第4項之非法持有子彈罪 | 非法持有非制式手槍罪及同條例第12條第4項之非法持有具殺傷力之子彈罪
加重詐欺取財罪,23,,刑法第339條之4第1項第2款之加重詐欺取財罪 | 加重詐欺取財罪 | 刑法第三百三十九條之四第一項第三款加重詐欺取財罪
而依同法第14條第1項論處之隱匿特定犯罪所得去向之洗錢罪,23,,詐欺取財罪及洗錢防制法第2條第2款而依同法第14條第1項論處之隱匿特定犯罪所得去向之洗錢罪 | 詐欺取財罪及修正前洗錢防制法第2條第2款而依同法第14條第1項論處之隱匿特定犯罪所得去向之洗錢罪
意圖營利供給賭博場所罪,23,,前段之意圖營利供給賭博場所罪及同條後段之意圖營利聚眾賭博罪 | 前段之意圖營利供給賭博場所罪 | 前段意圖營利供給賭博場所罪及同條後段意圖營利聚眾賭博罪
前4條之罪,22,,前4條之罪
恐嚇取財罪,22,,恐嚇取財罪 | 恐嚇取財未遂罪 | 恐嚇取財罪及同法第339條之2第1項之以不正方法由自動設備取得他人之物罪
持有第一級毒品罪,22,,持有第一級毒品罪 | 毒品危害防制條例第11條第1項之持有第一級毒品罪 | 持有第一級毒品罪及同條例第11條第2項持有第二級毒品罪
參與犯罪,22,,參與犯罪 | 罪防制條例第3條第1項後段之參與犯罪 | 罪條例第3條第1項後段之參與犯罪
意圖營利聚眾賭博罪,21,,意圖營利聚眾賭博罪 | 前段之在公共場所賭博財物罪及同法第268條後段之意圖營利聚眾賭博罪 | 後段之意圖營利聚眾賭博罪
非法利用個人資料罪,21,,個人資料保護法第四十一條之非法利用個人資料罪 | 非法利用個人資料罪 | 而犯個人資料保護法第41條之非法利用個人資料罪
洗錢之財物未達新臺幣一億元之洗錢罪,21,,後段之洗錢之財物未達新臺幣一億元之洗錢罪 | 三人以上共同詐欺取財罪及洗錢防制法第19條第1項後段之洗錢之財物未達新臺幣一億元之洗錢罪
等罪,21,是,刑法第339條之4第1項第2款等罪 | 行係犯刑法第339條之4第1項第2款等罪
非法由收費設備得利罪,20,,非法由收費設備得利罪
三人以上共同冒用政府機關及公務員名義詐欺取財罪,20,,三人以上共同冒用政府機關及公務員名義詐欺取財罪 | 三人以上共同冒用政府機關及公務員名義詐欺取財未遂罪
公然猥褻罪,20,,公然猥褻罪 | 刑法第234條第1項之公然猥褻罪
妨害公眾往來安全罪,20,,妨害公眾往來安全罪 | 妨害公眾往來安全罪及同法第304條第1項強制罪 | 妨害公眾往來安全罪及同法第354條之毀損罪
附表編號1、2「罪,19,是,附表編號1、2「罪
罪組織罪,19,是,罪組織罪
如附表一「罪,19,是,如附表一「罪
前2條之罪,18,,前2條之罪
行犯罪,18,,行犯罪
本件有期徒刑以上之罪,18,,本件有期徒刑以上之罪
運輸第三級毒品罪,18,,運輸第三級毒品罪 | 運輸第三級毒品罪及懲治走私條例第2條第1項之私運管制物品進口罪 | 幫助運輸第三級毒品罪
組織犯罪,18,,組織犯罪
吐氣所含酒精濃度達0.25毫克以上而駕駛動力交通工具罪,18,,吐氣所含酒精濃度達0.25毫克以上而駕駛動力交通工具罪
：按刑法上一行為而觸犯數罪,18,,：按刑法上一行為而觸犯數罪
、第339條第1項之幫助詐欺取財罪,17,,刑法第30條第1項前段、第339條第1項之幫助詐欺取財罪 | 刑法第30條、第339條第1項之幫助詐欺取財罪
強制性交罪,17,,強制性交罪 | 強制性交未遂罪
駕駛動力交通工具發生交通事故致人傷害逃逸罪,17,,前段之駕駛動力交通工具發生交通事故致人傷害逃逸罪 | 駕駛動力交通工具發生交通事故致人傷害逃逸罪 | 刑法第185條之4第1項前段之駕駛動力交通工具發生交通事故致人傷害逃逸罪
持有第三級毒品純質淨重五公克以上之罪,17,,持有第三級毒品純質淨重五公克以上之罪
非法辦理國內外匯兌業務罪,16,,銀行法第一百二十五條第一項前段之非法辦理國內外匯兌業務罪 | 銀行法第一百二十五條第一項後段之非法辦理國內外匯兌業務罪 | 前段之非法辦理國內外匯兌業務罪
圖利容留性交罪,16,,圖利容留性交罪 | 前段之圖利容留性交罪
偽證罪,16,,偽證罪 | 教唆偽證罪 | 侵占遺失物罪及同法第168條之偽證罪
誹謗罪,16,,誹謗罪 | 公然侮辱罪及同法第310條第1項之誹謗罪 | 誹謗罪及刑法第309條第1項之公然侮辱罪
普通竊盜罪,16,,普通竊盜罪
行有犯罪,16,,行有犯罪
侵占離本人持有之物罪,15,,侵占離本人持有之物罪
處罰之洗錢罪,15,,處罰之洗錢罪
過失致重傷害罪,15,,過失致重傷害罪 | 後段之過失致重傷害罪 | 後段過失致重傷害罪
施用第2級毒品罪,15,,施用第2級毒品罪
無正當理由交付、提供合計三個以上帳戶予他人使用罪,15,,無正當理由交付、提供合計三個以上帳戶予他人使用罪 | 洗錢防制法第二十二條第三項第二款之無正當理由交付、提供合計三個以上帳戶予他人使用罪 | 洗錢防制法第二十二條第三項第二款無正當理由交付、提供合計三個以上帳戶予他人使用罪
妨害役男徵兵處理罪,14,,妨害役男徵兵處理罪
罪所得」欄所示之犯罪,14,是,罪所得」欄所示之犯罪
：按共同實行犯罪,14,,：按共同實行犯罪
乘機性交罪,13,,乘機性交罪 | 乘機性交未遂罪
非公務機關未於蒐集特定目的必要範圍內利用個人資料罪,13,,個人資料保護法第四十一條之非公務機關未於蒐集特定目的必要範圍內利用個人資料罪 | 非公務機關未於蒐集特定目的必要範圍內利用個人資料罪 | 個人資料保護法第四十一條第一項之非公務機關未於蒐集特定目的必要範圍內利用個人資料罪
駕駛動力交通工具發生交通事故致人傷害而逃逸罪,13,,前段之駕駛動力交通工具發生交通事故致人傷害而逃逸罪 | 駕駛動力交通工具發生交通事故致人傷害而逃逸罪 | 前段之駕駛動力交通工具發生交通事故致人傷害而逃逸罪及同法第284條前段之過失傷害罪
施用毒品致不能安全駕駛而駕駛動力交通工具罪,13,,施用毒品致不能安全駕駛而駕駛動力交通工具罪
非法經營銀行業務罪,13,,銀行法第一百二十五條第一項前段之非法經營銀行業務罪 | 前段之非法經營銀行業務罪 | 銀行法第一百二十五條第一項後段之非法經營銀行業務罪
搶奪罪,13,,搶奪罪 | 搶奪未遂罪 | 強制罪及同法第325條第1項之搶奪罪
以不正方法由收費設備得利罪,13,,以不正方法由收費設備得利罪 | 以不正方法由收費設備得利罪及同法第339條之2第2項之以不正方法由自動付款設備得利罪
販賣第三級毒品而混合二種以上之毒品罪,13,,販賣第三級毒品而混合二種以上之毒品未遂罪 | 販賣第三級毒品而混合二種以上之毒品罪
有關供犯罪,13,,罪防制條例第48條有關供犯罪 | 罪危害防制條例第48條有關供犯罪
上開數罪,13,,上開數罪
